epoch,G,D,cycle,id
0,3.09,1.91,0.08,1.15
1,969.66,363.29,30.97,221.77
2,8.55,80.25,0.08,1.12
3,3.58,50.42,0.08,1.18
4,16.45,190.35,0.08,1.13
5,4.46,512.53,0.08,1.17
6,3.4,43.86,0.08,1.14
7,3.32,233.02,0.08,1.17
8,3.61,17.02,0.08,1.14
9,3.11,2.95,0.08,1.16
10,3.12,1.09,0.08,1.15
11,3.11,1.27,0.08,1.15
12,3.09,1.05,0.08,1.14
13,3.08,1.05,0.08,1.14
14,3.06,0.88,0.08,1.13
15,3.07,12.89,0.08,1.12
16,3.85,1.23,0.08,1.11
17,3.17,3.2,0.08,1.14
18,40.21,642.15,0.08,1.13
19,4.55,1045.27,0.08,1.19
20,3.42,258.05,0.08,1.16
21,3.18,290.95,0.08,1.16
22,4.23,246.07,0.08,1.15
23,381.59,20058.23,0.08,1.18
24,8173.39,8613.14,0.63,6.94
25,224.35,3007.87,0.08,1.13
26,33.16,59.62,0.1,1.3
27,59.44,1167.64,0.08,1.19
28,8.65,146.27,0.08,1.17
29,10.41,324.72,0.08,1.15
30,3.85,178.76,0.08,1.16
31,3.72,122.53,0.08,1.17
32,4.62,180.15,0.08,1.17
33,4.95,89.28,0.08,1.13
34,5.18,553.62,0.08,1.16
35,4.42,199.78,0.08,1.15
36,6.45,430.8,0.08,1.16
37,7.56,117.4,0.08,1.15
38,3.22,12.18,0.08,1.16
39,3.38,30.45,0.08,1.16
40,3.17,2.82,0.08,1.16
41,3.27,24.76,0.08,1.16
42,3.14,1.06,0.08,1.16
43,3.1,1.13,0.08,1.15
44,3.09,1.03,0.08,1.13
45,2.94,0.96,0.08,1.13
46,3.13,0.99,0.08,1.12
47,3.06,1.0,0.09,1.21
48,3.15,1.21,0.1,1.29
49,3.16,1.06,0.08,1.17
50,3.15,0.95,0.08,1.16
51,3.11,1.04,0.08,1.17
52,2.79,1.0,0.09,1.17
53,4.45,0.93,0.29,2.28
54,3.14,17.55,0.08,1.16
55,6.68,41.99,0.08,1.11
56,3.15,1.85,0.08,1.17
57,3.1,1.28,0.08,1.17
58,2.86,2.77,0.09,1.18
59,3.95,10.35,0.09,1.2
60,3.16,4.04,0.08,1.16
61,3.18,0.94,0.08,1.16
62,3.18,1.39,0.08,1.16
63,3.07,1.07,0.08,1.14
64,9.11,1.66,0.07,0.98
65,3.19,1.11,0.08,1.16
66,3.14,1.12,0.08,1.16
67,3.14,0.98,0.08,1.16
68,3.17,1.77,0.08,1.17
69,3.1,1.23,0.08,1.17
70,3.05,5.05,0.08,1.16
71,3.16,1.1,0.08,1.16
72,3.89,1.58,0.08,1.19
73,3.17,0.97,0.08,1.16
74,3.15,1.14,0.08,1.15
75,3.15,0.94,0.08,1.15
76,3.14,1.07,0.08,1.15
77,3.15,1.04,0.08,1.15
78,3.14,1.0,0.08,1.15
79,3.14,0.97,0.08,1.15
80,3.12,1.05,0.08,1.14
81,2.93,1.03,0.08,1.1
82,3.19,0.64,0.03,0.38
83,3.17,1.01,0.08,1.16
84,3.15,1.0,0.08,1.15
85,3.14,0.92,0.08,1.15
86,3.08,0.93,0.08,1.16
87,2.67,0.84,0.08,1.16
88,2.32,0.7,0.09,1.17
89,3525.62,135.26,421.01,2834.48
90,38.33,540.03,0.08,1.12
91,17.54,4922.36,0.08,1.17
92,1936.06,32657.71,0.08,1.09
93,57.22,1150.04,0.08,1.15
94,17.63,1945.2,0.08,1.17
95,735.37,524.08,0.19,2.2
96,11.4,580.71,0.08,1.16
97,3.23,7.2,0.08,1.17
98,4.11,88.48,0.08,1.17
99,3.27,91.13,0.08,1.17
100,3.17,78.74,0.08,1.17
101,3.24,19.91,0.08,1.17
102,3.41,73.73,0.08,1.17
103,3.2,5.58,0.08,1.16
104,3.22,8.05,0.08,1.16
105,3.42,23.93,0.08,1.16
106,3.23,44.28,0.08,1.16
107,3.19,6.81,0.08,1.17
108,3.23,17.21,0.08,1.17
109,3.31,1.24,0.08,1.17
110,3.23,5.34,0.08,1.16
111,3.5,18.81,0.08,1.16
112,3.66,32.02,0.08,1.16
113,3.16,14.07,0.08,1.17
114,3.14,2.37,0.08,1.17
115,3.25,14.72,0.08,1.17
116,3.35,1.18,0.08,1.16
117,3.24,1.04,0.08,1.16
118,3.19,1.19,0.08,1.16
119,3.14,0.97,0.08,1.15
120,3.14,0.92,0.08,1.15
121,3.12,1.04,0.08,1.15
122,2.96,0.88,0.08,1.14
123,3.18,1.14,0.08,1.16
124,3.13,0.91,0.08,1.15
125,3.21,1.06,0.08,1.16
126,3.06,0.97,0.08,1.15
127,3.19,1.16,0.08,1.15
128,2.98,0.88,0.08,1.15
129,2.57,0.95,0.08,1.14
130,3.35,0.82,0.08,1.16
131,3.2,1.01,0.08,1.15
132,3.31,1.36,0.08,1.15
133,3.17,1.12,0.08,1.15
134,3.12,1.07,0.08,1.15
135,3.13,1.02,0.08,1.15
136,2.97,0.97,0.08,1.15
137,2.88,0.89,0.08,1.16
138,4.03,1.08,0.08,1.11
139,3.32,1.01,0.08,1.12
140,3.04,0.92,0.08,1.16
141,4.62,1.86,0.09,1.19
142,2.92,1.29,0.08,1.18
143,160.37,100.81,0.15,1.78
144,25.67,1069.98,0.08,1.16
145,68.61,2596.95,0.08,1.19
146,53.09,167.27,0.07,1.06
147,90.46,6903.57,0.08,1.17
148,56.32,207.83,0.09,1.3
149,78.6,1433.42,0.08,1.19
150,3.26,11.36,0.08,1.17
151,3.43,75.96,0.08,1.17
152,3.19,6.93,0.08,1.17
153,3.17,6.83,0.08,1.17
154,3.18,6.0,0.08,1.17
155,3.17,1.21,0.08,1.17
156,3.16,1.15,0.08,1.17
157,3.16,0.98,0.08,1.17
158,3.15,1.07,0.08,1.17
159,3.16,1.03,0.08,1.16
160,3.14,1.03,0.08,1.16
161,3.17,1.01,0.08,1.17
162,3.15,1.06,0.08,1.17
163,3.14,1.07,0.08,1.17
164,3.09,1.0,0.08,1.16
165,3.15,1.0,0.08,1.16
166,3.07,1.01,0.08,1.16
167,3.21,1.17,0.09,1.18
168,3.2,1.03,0.08,1.18
169,3.2,1.1,0.08,1.19
170,3.17,0.99,0.09,1.19
171,3.14,1.04,0.08,1.17
172,3.15,1.01,0.08,1.16
173,3.12,0.96,0.08,1.16
174,3.14,1.05,0.08,1.16
175,3.06,0.94,0.08,1.16
176,2.69,0.91,0.08,1.15
177,109.39,24.13,0.89,6.99
178,5.14,18.52,0.08,1.13
179,42.34,882.24,0.08,1.15
180,54.79,1043.88,0.08,1.19
181,3.1,438.71,0.08,1.16
182,149.93,13593.04,0.08,1.17
183,6210.86,1905.31,5.3,41.31
184,27.78,1250.64,0.08,1.18
185,9.53,8545.55,0.08,1.17
186,7.26,59.79,0.08,1.13
187,3.12,26.2,0.08,1.15
188,4.31,21.75,0.08,1.15
189,3.13,31.14,0.08,1.15
190,3.53,8.36,0.08,1.15
191,3.22,35.82,0.08,1.15
192,3.28,1.82,0.08,1.15
193,3.16,1.07,0.08,1.14
194,3.13,0.87,0.08,1.14
195,3.13,0.83,0.08,1.14
196,3.12,1.36,0.08,1.14
197,3.12,1.1,0.08,1.14
198,3.11,0.92,0.08,1.14
199,3.11,1.03,0.08,1.14
200,3.16,0.88,0.08,1.13
201,3.19,1.11,0.08,1.15
202,3.11,1.04,0.08,1.14
203,3.09,1.22,0.08,1.14
204,3.02,1.0,0.08,1.14
205,4.67,0.88,0.08,1.1
206,3.33,1.15,0.08,1.16
207,3.19,1.54,0.08,1.15
208,3.16,1.08,0.08,1.15
209,3.15,1.05,0.08,1.15
210,3.15,1.55,0.08,1.15
211,3.14,1.18,0.08,1.15
212,3.14,1.02,0.08,1.15
213,3.17,0.99,0.08,1.14
214,3.14,1.16,0.08,1.15
215,3.21,1.13,0.08,1.15
216,3.13,1.15,0.08,1.14
217,3.14,1.07,0.08,1.14
218,3.12,1.08,0.08,1.14
219,3.12,1.07,0.08,1.14
220,3.17,1.12,0.08,1.15
221,3.09,1.24,0.08,1.14
222,2.85,0.92,0.08,1.13
223,6.48,1.31,0.08,1.08
224,3.21,0.99,0.08,1.16
225,3.42,0.98,0.08,1.17
226,3.29,1.06,0.08,1.17
227,3.2,1.42,0.08,1.16
228,3.15,54.2,0.08,1.16
229,6.2,136.89,0.08,1.15
230,17.05,1535.07,0.08,1.17
231,134.93,5286.11,0.08,1.16
232,16.01,2787.21,0.08,1.19
233,1119.85,14583.8,0.09,1.22
234,39.42,28711.39,0.08,1.17
235,17.59,693.03,0.08,1.18
236,3.19,13.52,0.08,1.18
237,6.17,198.32,0.08,1.18
238,3.72,19.48,0.08,1.16
239,3.18,34.31,0.08,1.17
240,3.62,110.97,0.08,1.17
241,3.54,8.28,0.08,1.16
242,3.17,32.36,0.08,1.16
243,3.35,54.44,0.08,1.16
244,3.19,3.47,0.08,1.17
245,3.17,22.36,0.08,1.17
246,3.48,29.94,0.08,1.17
247,3.22,14.05,0.08,1.16
248,3.28,1.17,0.08,1.16
249,3.16,2.09,0.08,1.16
250,3.08,1.0,0.08,1.15
251,2.83,1.16,0.08,1.12
252,4.23,1.19,0.08,1.12
253,3.2,0.76,0.08,1.16
254,3.2,0.94,0.08,1.15
255,3.09,1.01,0.08,1.15
256,3.04,0.93,0.08,1.15
257,3.02,1.03,0.08,1.14
258,2.47,0.82,0.08,1.07
259,3.23,0.94,0.08,1.17
260,3.18,1.01,0.08,1.16
261,3.12,0.94,0.08,1.16
262,3.23,1.28,0.08,1.17
263,3.06,1.04,0.08,1.17
264,3.12,6.08,0.08,1.17
265,3.88,48.21,0.08,1.16
266,3.61,20.87,0.08,1.16
267,14.71,121.86,0.08,1.19
268,7.0,195.3,0.08,1.14
269,33.8,65.66,0.08,1.1
270,62.38,2588.97,0.08,1.16
271,60.4,2183.75,0.09,1.2
272,10.11,59.17,0.08,1.18
273,8.83,531.83,0.08,1.17
274,450.26,137.8,0.05,0.53
275,4.22,19.67,0.08,1.18
276,3.8,6.59,0.08,1.18
277,3.47,26.34,0.08,1.18
278,3.36,1.22,0.08,1.18
279,3.35,1.5,0.08,1.18
280,3.31,1.09,0.08,1.18
281,3.28,0.95,0.08,1.18
282,3.34,1.21,0.08,1.18
283,3.21,12.7,0.08,1.18
284,3.35,1.48,0.08,1.19
285,3.22,1.46,0.08,1.18
286,3.23,1.08,0.08,1.18
287,3.22,1.04,0.08,1.18
288,3.2,1.0,0.08,1.18
289,3.19,1.0,0.08,1.18
290,3.17,0.95,0.08,1.18
291,3.22,1.03,0.08,1.18
292,3.17,1.05,0.08,1.17
293,2.99,1.0,0.08,1.19
294,1.98,0.75,0.1,1.4
295,3.16,0.87,0.08,1.18
296,3.15,0.96,0.08,1.18
297,3.17,1.0,0.08,1.18
298,3.09,0.99,0.08,1.17
299,2.93,0.8,0.08,1.17
300,3.8,1.44,0.08,1.1
301,3.18,0.81,0.08,1.17
302,3.71,1.3,0.08,1.18
303,3.16,1.15,0.08,1.17
304,3.15,0.8,0.08,1.17
305,3.17,0.87,0.08,1.16
306,3.17,1.04,0.08,1.16
307,3.16,0.9,0.08,1.16
308,3.15,0.97,0.08,1.17
309,3.12,0.89,0.08,1.16
310,3.06,0.94,0.08,1.16
311,2.92,0.82,0.08,1.16
312,2.89,0.9,0.08,1.15
313,3.22,0.97,0.08,1.18
314,3.16,1.35,0.08,1.18
315,3.17,1.01,0.08,1.17
316,3.09,1.03,0.08,1.16
317,2.94,0.99,0.08,1.14
318,2.21,0.8,0.08,1.1
319,1.06,0.39,0.07,0.89
320,0.68,0.44,0.03,0.57
321,1.9,0.51,0.08,1.12
322,1.52,0.7,0.07,0.94
323,2.54,1.54,0.04,0.51
324,4.05,1.83,0.07,1.0
325,3.49,1.09,0.08,1.16
326,2.97,0.87,0.08,1.16
327,3.56,0.94,0.08,1.16
328,2.76,0.9,0.08,1.14
329,2.3,0.61,0.08,1.12
330,1.72,0.45,0.08,1.06
331,1.1,0.3,0.06,0.84
332,0.9,0.25,0.05,0.71
333,1.87,0.55,0.08,1.12
334,1.66,1.44,0.07,1.04
335,0.94,2.22,0.06,0.79
336,6.35,7.1,0.03,0.44
337,6.84,1.21,0.08,1.15
338,3.38,0.95,0.08,1.17
339,3.55,0.96,0.08,1.17
340,3.2,0.73,0.08,1.17
341,3.17,1.36,0.08,1.17
342,2.6,0.84,0.08,1.17
343,3.32,0.89,0.08,1.17
344,2.48,1.37,0.08,1.16
345,2.7,31.68,0.08,1.16
346,7.09,77.62,0.08,1.17
347,23.89,1701.18,0.08,1.18
348,5.45,78.03,0.08,1.16
349,17.03,906.17,0.08,1.16
350,12.04,18.12,0.09,1.26
351,72.29,11.19,0.11,1.51
352,3.2,4.8,0.08,1.17
353,3.16,0.95,0.08,1.17
354,3.07,0.97,0.08,1.17
355,2.93,8.21,0.08,1.17
356,2.59,0.84,0.08,1.17
357,2.33,0.73,0.08,1.17
358,2.52,11.3,0.08,1.17
359,4.59,2.04,0.09,1.25
360,2.61,0.81,0.08,1.17
361,2.29,0.65,0.08,1.17
362,1.98,2.56,0.08,1.17
363,1.89,0.45,0.09,1.19
364,1.51,0.25,0.09,1.19
365,1.47,0.65,0.09,1.19
366,1.46,0.25,0.09,1.19
367,1.46,0.35,0.09,1.19
368,1.46,0.43,0.09,1.19
369,1.45,0.25,0.09,1.19
370,1.45,0.16,0.09,1.19
371,1.45,0.26,0.09,1.18
372,1.45,0.52,0.09,1.18
373,1.45,0.32,0.09,1.18
374,1.44,0.16,0.09,1.18
375,1.44,0.58,0.09,1.17
376,1.44,0.2,0.08,1.17
377,1.43,0.28,0.09,1.17
378,1.43,0.31,0.08,1.16
379,1.43,0.17,0.08,1.16
380,1.42,0.18,0.08,1.15
381,1.41,0.16,0.08,1.14
382,1.37,5.83,0.08,1.11
383,1.15,0.17,0.07,0.9
384,2.99,0.21,0.17,2.64
385,2.1,0.38,0.09,1.21
386,1.79,0.45,0.08,1.17
387,32.76,11.82,0.28,2.09
388,4.15,36.14,0.08,1.15
389,3.21,16.2,0.08,1.16
390,4.68,10.51,0.08,1.16
391,5.55,196.0,0.08,1.17
392,3.33,1.18,0.09,1.19
393,2.78,0.94,0.08,1.19
394,2.62,1.03,0.09,1.19
395,3.0,0.75,0.08,1.19
396,2.41,0.47,0.09,1.2
397,2.76,0.8,0.08,1.19
398,1.83,0.7,0.09,1.2
399,1.73,0.23,0.09,1.2
400,1.5,0.22,0.09,1.21
401,1.48,0.24,0.09,1.21
402,1.47,0.16,0.09,1.2
403,1.47,0.58,0.09,1.19
404,1.46,0.43,0.09,1.19
405,1.45,0.16,0.09,1.19
406,1.45,0.36,0.09,1.17
407,1.44,0.44,0.09,1.17
408,1.36,0.4,0.08,1.1
409,0.85,0.17,0.06,0.64
410,16.87,0.27,1.18,15.56
411,2.12,0.48,0.09,1.2
412,9.32,19.3,0.09,1.19
413,6.47,162.81,0.08,1.15
414,5.18,109.44,0.08,1.18
415,3.65,1807.75,0.08,1.17
416,5.45,300.29,0.08,1.18
417,3.92,108.48,0.08,1.17
418,3.17,0.81,0.08,1.18
419,3.14,0.68,0.08,1.18
420,3.03,0.87,0.08,1.18
421,3.2,0.84,0.08,1.18
422,3.05,0.72,0.08,1.18
423,3.09,0.83,0.08,1.18
424,3.02,0.82,0.08,1.18
425,3.05,0.82,0.08,1.18
426,2.76,0.58,0.08,1.18
427,2.8,0.76,0.08,1.18
428,2.28,0.44,0.08,1.18
429,1.64,0.5,0.09,1.18
430,1.45,0.32,0.09,1.19
431,1.44,0.44,0.09,1.17
432,1.29,0.18,0.1,1.01
433,24.63,0.35,0.2,2.54
434,2.39,0.71,0.08,1.13
435,1.62,0.57,0.08,1.07
436,1.75,0.8,0.07,1.02
437,2.04,0.26,0.08,1.09
438,1.42,2.38,0.08,1.13
439,1.35,14.74,0.08,1.11
440,9.75,80.11,0.08,1.08
441,3.68,112.54,0.08,1.17
442,38.5,319.1,0.08,1.14
443,3.45,91.01,0.08,1.18
444,3.37,42.91,0.08,1.17
445,3.26,1.5,0.08,1.19
446,3.15,0.81,0.08,1.18
447,3.07,0.86,0.08,1.18
448,3.05,13.29,0.08,1.19
449,3.16,0.99,0.08,1.18
450,3.09,1.12,0.08,1.17
451,2.98,1.0,0.08,1.18
452,2.79,0.97,0.08,1.18
453,2.56,0.78,0.08,1.18
454,3.69,0.76,0.09,1.21
455,2.99,0.85,0.08,1.19
456,1.93,0.71,0.09,1.22
457,3.18,1.03,0.08,1.18
458,2.97,0.78,0.08,1.19
459,3.29,1.03,0.08,1.19
460,3.75,1.29,0.09,1.21
461,3.15,0.76,0.08,1.17
462,3.2,0.77,0.08,1.17
463,3.15,0.93,0.08,1.18
464,3.13,0.85,0.08,1.18
465,2.99,0.89,0.08,1.19
466,2.74,0.91,0.08,1.18
467,1.53,0.22,0.1,1.25
468,1.49,0.36,0.09,1.22
469,1.48,0.55,0.09,1.21
470,1.47,0.31,0.09,1.2
471,1.45,0.58,0.09,1.19
472,1.45,0.67,0.09,1.18
473,1.44,0.12,0.08,1.17
474,1.47,0.33,0.08,1.17
475,1.71,0.4,0.14,1.39
476,1.58,0.22,0.09,1.2
477,1.58,0.12,0.12,1.28
478,1.45,0.19,0.09,1.18
479,1.43,0.26,0.09,1.17
480,1.46,0.2,0.08,1.16
481,1.51,0.37,0.11,1.22
482,1.38,0.31,0.1,1.11
483,0.79,0.14,0.1,0.54
484,20.31,0.27,1.39,18.83
485,1.56,0.13,0.12,1.26
486,2.77,0.57,0.09,1.15
487,2.28,0.56,0.28,1.83
488,1.36,0.24,0.11,1.06
489,0.93,0.34,0.16,0.62
490,1.83,0.25,0.16,1.59
491,1.36,0.44,0.11,1.07
492,1.27,0.12,0.11,0.98
493,3.83,1.11,0.1,0.81
494,43.34,21.72,0.05,0.53
495,9.85,171.45,0.17,1.87
496,17.58,82.6,0.09,1.19
497,24.84,2201.22,0.08,1.18
498,3.28,354.47,0.08,1.17
499,3.12,138.23,0.08,1.17
500,3.31,1.01,0.08,1.16
501,2.98,0.74,0.08,1.17
502,2.4,4.42,0.08,1.17
503,3.27,0.9,0.08,1.16
504,2.88,3.4,0.08,1.16
505,2.82,0.64,0.08,1.16
506,2.51,0.55,0.08,1.17
507,2.74,0.7,0.08,1.18
508,2.08,0.68,0.09,1.21
509,1.61,0.9,0.09,1.19
510,1.96,0.4,0.09,1.21
511,1.5,0.43,0.09,1.19
512,1.47,0.36,0.09,1.2
513,1.47,0.24,0.09,1.2
514,1.47,0.25,0.09,1.2
515,1.46,0.31,0.09,1.19
516,1.46,0.2,0.09,1.19
517,1.46,0.24,0.09,1.19
518,1.45,0.13,0.09,1.19
519,1.45,0.12,0.09,1.18
520,1.45,0.14,0.09,1.18
521,1.43,0.37,0.08,1.17
522,1.43,0.24,0.08,1.17
523,1.43,0.2,0.08,1.16
524,1.46,0.12,0.09,1.19
525,1.43,0.13,0.09,1.17
526,1.43,0.31,0.08,1.16
527,1.42,0.33,0.08,1.16
528,1.42,0.12,0.08,1.16
529,1.42,0.12,0.08,1.16
530,1.43,0.19,0.09,1.16
531,1.42,0.12,0.08,1.16
532,1.41,0.12,0.08,1.15
533,1.4,0.12,0.08,1.14
534,1.28,0.13,0.08,1.03
535,11.0,0.18,0.25,3.12
536,1.54,0.13,0.11,1.25
537,21.44,4.26,0.08,1.14
538,2.58,0.42,0.08,1.17
539,2.59,3.77,0.08,1.18
540,2.3,0.29,0.08,1.17
541,1.65,0.21,0.09,1.19
542,1.47,0.25,0.09,1.19
543,1.47,0.83,0.09,1.2
544,1.72,2.93,0.09,1.19
545,1.75,0.27,0.08,1.17
546,1.48,0.2,0.09,1.2
547,1.47,0.14,0.09,1.19
