epoch,G,D,cycle,id
0,2.1,0.35,0.77,1.03
1,1.75,0.33,0.66,0.79
2,1.31,0.56,0.39,0.46
3,1.89,0.32,0.69,0.9
4,1.56,0.31,0.54,0.73
5,1.46,0.3,0.59,0.58
6,1.87,0.31,0.67,0.9
7,1.79,0.29,0.64,0.86
8,1.66,0.28,0.59,0.78
9,1.42,0.27,0.49,0.62
10,1.15,0.26,0.48,0.42
11,1.67,0.25,0.65,0.69
12,1.31,0.27,0.5,0.54
13,1.45,0.21,0.55,0.61
14,1.82,0.24,0.65,0.87
15,1.7,0.21,0.61,0.82
16,1.58,0.3,0.56,0.73
17,1.42,0.35,0.55,0.62
18,1.17,0.3,0.42,0.39
19,1.14,0.26,0.49,0.37
20,1.7,0.34,0.63,0.7
21,1.79,0.23,0.66,0.88
22,1.64,0.21,0.6,0.8
23,1.45,0.21,0.55,0.7
24,1.13,0.21,0.45,0.51
25,0.88,0.2,0.41,0.33
26,1.21,0.2,0.46,0.6
27,0.96,0.2,0.41,0.4
28,1.38,0.18,0.54,0.67
29,0.99,0.22,0.4,0.43
30,1.47,0.24,0.64,0.67
31,1.85,0.21,0.71,0.93
32,1.67,0.24,0.61,0.83
33,1.52,0.18,0.57,0.76
34,1.31,0.18,0.51,0.64
35,1.03,0.16,0.41,0.46
36,0.89,0.16,0.4,0.35
37,1.15,0.16,0.48,0.52
38,0.79,0.17,0.32,0.32
39,0.81,0.18,0.35,0.32
40,1.39,0.17,0.54,0.71
41,0.94,0.18,0.36,0.42
42,0.74,0.18,0.33,0.28
43,1.08,0.17,0.4,0.51
44,1.0,0.16,0.42,0.41
45,1.4,0.16,0.54,0.7
46,1.13,0.15,0.46,0.52
47,0.79,0.15,0.32,0.3
48,0.76,0.17,0.3,0.3
49,1.41,0.17,0.55,0.73
50,0.91,0.16,0.33,0.39
51,0.86,0.15,0.34,0.35
52,1.42,0.16,0.54,0.74
53,1.15,0.17,0.43,0.55
54,0.83,0.15,0.32,0.36
55,0.8,0.15,0.34,0.3
56,1.04,0.15,0.39,0.48
57,0.76,0.14,0.3,0.3
58,0.86,0.17,0.35,0.32
59,1.39,0.17,0.55,0.66
60,1.64,0.16,0.62,0.83
61,1.41,0.16,0.53,0.7
62,1.23,0.15,0.48,0.6
63,1.01,0.16,0.37,0.46
64,0.77,0.15,0.3,0.29
65,0.82,0.15,0.37,0.29
66,0.9,0.15,0.36,0.36
67,1.28,0.19,0.49,0.67
68,0.86,0.14,0.35,0.33
69,0.84,0.14,0.32,0.35
70,1.23,0.16,0.44,0.62
71,0.82,0.18,0.3,0.39
72,0.74,0.15,0.27,0.29
73,0.95,0.16,0.36,0.44
74,0.75,0.15,0.28,0.29
75,1.04,0.14,0.37,0.51
76,0.7,0.14,0.24,0.28
77,0.58,0.16,0.23,0.24
78,0.7,0.16,0.24,0.29
79,1.01,0.15,0.39,0.45
80,1.47,0.14,0.56,0.75
81,1.2,0.19,0.43,0.51
82,0.82,0.15,0.3,0.33
83,0.58,0.19,0.24,0.25
84,0.74,0.19,0.27,0.3
85,1.03,0.25,0.43,0.46
86,1.27,0.16,0.49,0.65
87,0.99,0.14,0.4,0.43
88,0.7,0.13,0.24,0.28
89,0.71,0.13,0.25,0.27
90,0.98,0.14,0.38,0.44
91,0.65,0.14,0.23,0.24
92,0.69,0.14,0.28,0.26
93,0.75,0.13,0.28,0.3
94,1.23,0.14,0.47,0.61
95,0.88,0.14,0.32,0.38
96,0.62,0.15,0.24,0.25
97,0.59,0.15,0.23,0.24
98,0.79,0.15,0.29,0.34
99,1.33,0.16,0.52,0.66
100,0.93,0.14,0.36,0.39
101,0.62,0.15,0.22,0.25
102,0.66,0.15,0.23,0.25
103,0.92,0.15,0.33,0.41
104,0.64,0.14,0.21,0.25
105,0.59,0.14,0.21,0.24
106,0.87,0.15,0.32,0.38
107,1.29,0.14,0.51,0.65
108,0.97,0.16,0.38,0.41
109,0.69,0.14,0.24,0.27
110,0.63,0.15,0.22,0.26
111,0.92,0.14,0.35,0.41
112,0.6,0.14,0.2,0.23
113,0.58,0.16,0.19,0.21
114,0.63,0.16,0.21,0.24
115,0.85,0.16,0.31,0.36
116,1.23,0.15,0.46,0.59
117,0.89,0.14,0.35,0.36
118,0.61,0.14,0.21,0.23
119,0.62,0.13,0.21,0.24
120,0.78,0.14,0.29,0.33
121,0.59,0.16,0.19,0.22
122,0.6,0.15,0.22,0.25
123,0.86,0.14,0.31,0.37
124,1.19,0.14,0.47,0.57
125,0.85,0.17,0.33,0.34
126,0.6,0.14,0.2,0.22
127,0.53,0.17,0.2,0.22
128,0.75,0.17,0.27,0.3
129,0.6,0.15,0.19,0.23
130,0.64,0.17,0.24,0.28
131,0.73,0.21,0.26,0.29
132,0.98,0.15,0.38,0.46
133,0.66,0.16,0.24,0.27
134,0.54,0.17,0.18,0.2
135,0.58,0.17,0.19,0.21
136,0.64,0.17,0.21,0.25
137,0.9,0.17,0.34,0.38
138,0.62,0.17,0.21,0.23
139,0.6,0.17,0.2,0.22
140,0.64,0.17,0.22,0.25
141,0.66,0.17,0.22,0.26
142,0.97,0.17,0.37,0.42
143,0.69,0.17,0.25,0.26
144,0.6,0.17,0.2,0.22
145,0.61,0.16,0.2,0.24
146,0.7,0.14,0.25,0.32
147,0.94,0.14,0.38,0.41
148,0.66,0.15,0.24,0.26
149,0.6,0.16,0.2,0.22
150,0.53,0.16,0.17,0.21
151,0.52,0.15,0.17,0.2
152,0.65,0.16,0.22,0.25
153,0.59,0.14,0.18,0.22
154,0.71,0.14,0.25,0.28
155,0.56,0.16,0.18,0.23
156,0.62,0.15,0.2,0.25
157,0.87,0.13,0.31,0.38
158,1.01,0.14,0.39,0.43
159,0.74,0.13,0.29,0.27
160,0.57,0.15,0.2,0.21
161,0.53,0.16,0.16,0.19
162,0.54,0.16,0.17,0.2
163,0.6,0.15,0.2,0.23
164,0.79,0.13,0.29,0.32
165,0.57,0.13,0.18,0.22
166,0.53,0.13,0.16,0.19
167,0.52,0.13,0.16,0.19
168,0.58,0.13,0.18,0.22
169,0.74,0.14,0.28,0.3
170,0.55,0.15,0.17,0.2
171,0.46,0.18,0.16,0.19
172,0.56,0.15,0.17,0.21
173,0.53,0.18,0.2,0.23
174,0.75,0.18,0.3,0.33
175,0.58,0.15,0.2,0.24
176,0.52,0.13,0.16,0.19
177,0.52,0.13,0.16,0.19
178,0.59,0.13,0.19,0.22
179,0.64,0.14,0.21,0.25
180,0.83,0.16,0.33,0.35
181,0.6,0.15,0.19,0.22
182,0.49,0.14,0.16,0.19
183,0.57,0.15,0.19,0.22
184,0.62,0.14,0.2,0.24
185,0.76,0.13,0.31,0.29
186,0.6,0.15,0.21,0.24
187,0.52,0.13,0.15,0.19
188,0.54,0.13,0.16,0.2
189,0.58,0.13,0.18,0.22
190,0.76,0.13,0.28,0.3
191,0.56,0.13,0.17,0.21
192,0.51,0.13,0.15,0.18
193,0.51,0.13,0.15,0.18
194,0.51,0.13,0.16,0.17
195,0.52,0.13,0.16,0.18
196,0.49,0.13,0.14,0.17
197,0.5,0.13,0.15,0.18
198,0.51,0.13,0.15,0.19
199,0.67,0.13,0.23,0.26
200,0.55,0.13,0.17,0.2
201,0.7,0.13,0.24,0.28
202,0.74,0.13,0.26,0.31
203,0.83,0.13,0.3,0.36
204,0.55,0.13,0.17,0.2
205,0.52,0.13,0.15,0.19
206,0.61,0.13,0.21,0.23
207,0.52,0.13,0.15,0.19
208,0.53,0.13,0.15,0.19
209,0.56,0.13,0.18,0.21
210,0.73,0.13,0.26,0.29
211,0.53,0.13,0.16,0.19
212,0.51,0.13,0.15,0.18
213,0.52,0.13,0.15,0.19
214,0.53,0.13,0.16,0.19
215,0.66,0.13,0.23,0.25
216,0.52,0.13,0.15,0.19
217,0.5,0.13,0.14,0.18
218,0.56,0.13,0.17,0.21
219,0.67,0.13,0.24,0.26
220,0.53,0.13,0.16,0.19
221,0.49,0.12,0.15,0.19
222,0.6,0.17,0.2,0.23
223,0.78,0.14,0.3,0.31
224,1.1,0.77,0.17,0.2
225,0.95,0.58,0.29,0.3
226,0.77,0.35,0.28,0.32
227,0.66,0.16,0.23,0.27
228,0.58,0.15,0.19,0.24
229,0.59,0.15,0.2,0.24
230,0.7,0.15,0.26,0.29
231,0.52,0.17,0.17,0.2
232,0.49,0.16,0.15,0.19
233,0.49,0.14,0.15,0.18
234,0.49,0.15,0.15,0.18
235,0.53,0.16,0.17,0.2
236,0.51,0.14,0.16,0.19
237,0.6,0.15,0.21,0.23
238,0.49,0.14,0.15,0.19
239,0.48,0.14,0.14,0.18
240,0.48,0.16,0.15,0.18
241,0.51,0.14,0.17,0.19
242,0.53,0.14,0.17,0.21
243,0.65,0.17,0.24,0.26
244,0.48,0.15,0.15,0.18
245,0.46,0.14,0.14,0.17
246,0.46,0.14,0.14,0.17
247,0.47,0.15,0.14,0.17
248,0.52,0.13,0.17,0.2
249,0.55,0.15,0.18,0.22
250,0.71,0.13,0.28,0.28
251,0.5,0.15,0.16,0.19
252,0.47,0.16,0.14,0.17
253,0.48,0.15,0.15,0.18
254,0.49,0.14,0.15,0.18
255,0.58,0.16,0.21,0.23
256,0.48,0.15,0.14,0.18
257,0.47,0.15,0.14,0.18
258,0.54,0.16,0.17,0.21
259,0.73,0.19,0.29,0.33
260,0.59,0.16,0.21,0.23
261,0.48,0.17,0.16,0.19
262,0.47,0.16,0.14,0.17
263,0.42,0.18,0.13,0.17
264,0.41,0.16,0.14,0.16
265,0.45,0.16,0.15,0.18
266,0.54,0.19,0.18,0.21
267,0.67,0.17,0.25,0.27
268,0.51,0.16,0.15,0.19
269,0.48,0.16,0.14,0.17
270,0.49,0.16,0.15,0.18
271,0.5,0.16,0.15,0.18
272,0.5,0.16,0.15,0.18
273,0.5,0.16,0.14,0.18
274,0.55,0.16,0.17,0.2
275,0.6,0.16,0.19,0.24
