epoch,G,D,cycle,id
0,2.88,1.9,0.07,0.96
1,2.77,1.6,0.06,0.82
2,2.61,2.16,0.05,0.68
3,4.09,2.01,0.06,1.08
4,2.76,1.57,0.06,0.84
5,2.72,1.44,0.06,0.81
6,2.68,1.36,0.06,0.78
7,2.62,1.25,0.06,0.73
8,2.5,1.33,0.05,0.64
9,2.28,1.26,0.05,0.52
10,2.01,1.13,0.05,0.41
11,2.3,0.92,0.11,1.33
12,2.58,1.06,0.06,0.84
13,2.16,0.96,0.05,0.76
14,1.34,0.69,0.05,0.69
15,1.46,0.67,0.12,1.18
16,1.65,0.74,0.06,0.7
17,0.87,0.28,0.05,0.53
18,0.67,0.32,0.05,0.49
19,0.78,0.44,0.05,0.56
20,0.6,0.54,0.04,0.42
21,0.66,0.2,0.04,0.43
22,0.81,1.71,0.04,0.53
23,1.33,0.54,0.06,0.82
24,0.99,0.3,0.06,0.69
25,10.72,2.03,0.25,1.67
26,11.82,3.13,0.06,0.55
27,2.4,0.7,0.06,0.81
28,2.15,0.67,0.06,0.79
29,1.86,0.69,0.06,0.78
30,1.5,0.41,0.06,0.75
31,1.14,0.48,0.06,0.69
32,0.89,0.31,0.06,0.6
33,0.67,0.4,0.06,0.45
34,0.58,0.26,0.06,0.4
35,0.61,0.26,0.06,0.42
36,0.57,0.22,0.06,0.39
37,0.66,0.31,0.06,0.46
38,0.52,0.31,0.05,0.34
39,0.51,0.27,0.05,0.33
40,0.54,0.19,0.05,0.36
41,0.69,0.25,0.05,0.5
42,0.51,0.16,0.05,0.32
43,0.53,1.04,0.05,0.33
44,0.69,0.2,0.05,0.44
45,0.53,0.18,0.05,0.34
46,0.67,0.18,0.05,0.46
47,0.54,0.17,0.05,0.35
48,0.63,0.16,0.05,0.42
49,0.56,0.16,0.04,0.36
50,0.65,0.17,0.05,0.46
51,0.55,0.15,0.04,0.34
52,0.56,0.17,0.05,0.38
53,0.58,0.15,0.04,0.39
54,0.74,0.18,0.05,0.53
55,0.51,0.17,0.04,0.34
56,0.55,0.16,0.04,0.35
57,0.76,0.33,0.06,0.56
58,0.55,0.16,0.04,0.35
59,0.53,0.15,0.04,0.36
60,0.73,0.17,0.05,0.52
61,0.51,0.15,0.04,0.32
62,0.5,0.28,0.04,0.31
63,0.62,0.16,0.05,0.44
64,0.6,0.16,0.04,0.39
65,0.83,0.17,0.05,0.64
66,0.69,0.14,0.04,0.5
67,0.49,0.16,0.04,0.31
68,0.58,0.16,0.04,0.39
69,0.87,0.16,0.06,0.69
70,0.69,0.15,0.04,0.5
71,0.49,0.14,0.04,0.31
72,0.52,0.16,0.04,0.32
73,0.73,0.15,0.05,0.55
74,0.5,0.15,0.03,0.32
75,0.61,0.17,0.04,0.41
76,0.9,0.17,0.06,0.72
77,0.77,0.16,0.05,0.57
78,0.6,0.16,0.04,0.41
79,0.54,0.16,0.04,0.36
80,0.73,0.15,0.05,0.57
81,0.57,0.17,0.03,0.36
82,0.56,0.17,0.03,0.35
83,0.77,0.16,0.06,0.57
84,0.5,0.16,0.04,0.35
85,0.59,0.19,0.03,0.41
86,0.92,0.2,0.06,0.72
87,0.7,0.18,0.04,0.48
88,0.5,0.15,0.03,0.31
89,0.53,0.16,0.03,0.32
90,0.57,0.19,0.04,0.45
91,0.89,0.15,0.05,0.69
92,0.78,0.15,0.05,0.58
93,0.62,0.15,0.04,0.43
94,0.52,0.14,0.03,0.32
95,0.6,0.19,0.04,0.47
96,0.57,0.14,0.04,0.39
97,0.74,0.17,0.05,0.51
98,0.57,0.17,0.03,0.36
99,0.59,0.17,0.03,0.38
100,0.87,0.17,0.06,0.63
101,0.96,0.17,0.06,0.72
102,0.88,0.17,0.05,0.64
103,0.78,0.17,0.05,0.55
104,0.61,0.17,0.04,0.39
105,0.66,0.17,0.03,0.45
106,0.73,0.17,0.04,0.51
107,0.6,0.17,0.03,0.39
108,0.61,0.17,0.03,0.4
109,0.58,0.17,0.03,0.37
110,0.82,0.17,0.05,0.59
111,0.66,0.17,0.04,0.44
112,0.48,0.17,0.03,0.27
113,0.48,0.17,0.03,0.27
114,0.57,0.17,0.03,0.36
115,0.64,0.17,0.04,0.42
116,0.87,0.17,0.05,0.64
117,0.75,0.17,0.04,0.53
118,0.58,0.17,0.03,0.37
119,0.53,0.17,0.03,0.33
120,0.66,0.17,0.03,0.44
