epoch,G,D,cycle,id
0,1.79,0.35,0.64,0.85
1,1.45,0.32,0.49,0.66
2,4.02,0.61,1.39,1.97
3,1.65,0.31,0.58,0.77
4,1.58,0.29,0.54,0.73
5,1.5,0.29,0.5,0.69
6,1.38,0.32,0.44,0.61
7,1.18,0.29,0.37,0.51
8,1.17,0.27,0.35,0.49
9,1.3,0.27,0.42,0.56
10,1.09,0.35,0.31,0.43
11,1.04,0.26,0.35,0.42
12,1.82,0.26,0.66,0.87
13,1.7,0.26,0.59,0.79
14,1.64,0.24,0.57,0.76
15,1.57,0.24,0.54,0.72
16,1.47,0.23,0.49,0.66
17,1.29,0.22,0.39,0.55
18,1.09,0.22,0.33,0.44
19,1.25,0.23,0.4,0.53
20,1.16,0.2,0.38,0.51
21,1.65,0.32,0.55,0.76
22,1.47,0.29,0.51,0.69
23,1.29,0.29,0.44,0.58
24,1.05,0.27,0.32,0.39
25,1.1,0.23,0.33,0.47
26,1.48,0.23,0.5,0.68
27,1.29,0.23,0.42,0.56
28,0.95,0.22,0.29,0.39
29,1.02,0.25,0.34,0.4
30,1.42,0.22,0.5,0.62
31,1.03,0.21,0.37,0.4
32,1.17,0.23,0.36,0.6
33,1.74,0.23,0.59,0.82
34,1.61,0.26,0.54,0.76
35,1.43,0.21,0.48,0.67
36,1.19,0.19,0.39,0.53
37,0.82,0.17,0.28,0.35
38,0.93,0.19,0.28,0.43
39,1.76,0.15,0.68,0.87
40,1.66,0.25,0.57,0.76
41,1.63,0.25,0.54,0.71
42,1.45,0.16,0.52,0.66
43,1.26,0.17,0.47,0.55
44,1.07,0.2,0.38,0.53
45,1.07,0.26,0.36,0.5
46,0.98,0.23,0.38,0.4
47,1.43,0.21,0.5,0.66
48,1.05,0.17,0.39,0.47
49,0.79,0.17,0.3,0.34
50,0.81,0.19,0.27,0.33
51,1.08,0.18,0.38,0.48
52,1.39,0.19,0.49,0.67
53,1.24,0.15,0.45,0.6
54,1.01,0.16,0.38,0.49
55,0.79,0.14,0.28,0.34
56,0.74,0.17,0.29,0.36
57,1.2,0.17,0.44,0.58
58,0.84,0.15,0.3,0.37
59,0.8,0.17,0.28,0.34
60,1.06,0.17,0.39,0.49
61,0.75,0.13,0.27,0.31
62,0.78,0.18,0.25,0.36
63,0.77,0.19,0.27,0.32
64,0.73,0.16,0.27,0.32
65,0.92,0.16,0.37,0.38
66,1.23,0.16,0.44,0.64
67,1.51,0.16,0.54,0.75
68,1.33,0.18,0.47,0.66
69,1.21,0.15,0.43,0.59
70,1.05,0.13,0.37,0.5
71,0.82,0.14,0.3,0.35
72,0.8,0.15,0.28,0.4
73,1.18,0.17,0.42,0.57
74,0.84,0.17,0.28,0.38
75,0.84,0.14,0.32,0.34
76,1.09,0.14,0.43,0.51
77,0.82,0.16,0.31,0.33
78,0.83,0.15,0.26,0.39
79,1.07,0.16,0.36,0.53
80,0.79,0.16,0.26,0.34
81,0.81,0.15,0.3,0.34
82,1.11,0.15,0.4,0.52
83,0.84,0.14,0.3,0.36
84,0.75,0.24,0.25,0.32
85,0.87,0.17,0.3,0.4
86,0.96,0.16,0.36,0.42
87,1.18,0.16,0.45,0.59
88,0.98,0.15,0.35,0.45
89,0.82,0.17,0.27,0.37
90,0.92,0.23,0.27,0.36
91,1.07,0.23,0.43,0.48
92,0.9,0.14,0.3,0.42
93,0.7,0.17,0.27,0.32
