epoch,G,D,cycle,id
0,2.15,0.35,0.8,1.06
1,1.91,0.32,0.71,0.91
2,1.74,0.59,0.66,0.59
3,1.97,0.32,0.72,0.96
4,1.75,0.3,0.62,0.84
5,1.18,0.3,0.44,0.46
6,1.56,0.3,0.55,0.72
7,1.87,0.27,0.75,0.82
8,2.0,0.29,0.73,0.97
9,1.95,0.29,0.71,0.94
10,1.87,0.29,0.68,0.89
11,1.74,0.27,0.63,0.81
12,1.45,0.25,0.53,0.63
13,1.6,0.24,0.61,0.63
14,1.89,0.29,0.7,0.91
15,1.81,0.27,0.66,0.84
16,1.63,0.24,0.59,0.74
17,1.28,0.23,0.47,0.54
18,1.14,0.22,0.47,0.48
19,1.88,0.38,0.68,0.88
20,1.71,0.28,0.63,0.8
21,1.4,0.25,0.53,0.65
22,0.98,0.19,0.36,0.38
23,1.24,0.2,0.53,0.55
24,1.93,0.24,0.73,0.93
25,1.74,0.26,0.66,0.83
26,1.55,0.28,0.58,0.71
27,1.21,0.22,0.48,0.53
28,0.94,0.17,0.39,0.39
29,1.37,0.19,0.56,0.62
30,0.92,0.17,0.38,0.37
31,1.47,0.17,0.57,0.7
32,1.03,0.18,0.41,0.46
33,1.13,0.23,0.47,0.5
34,1.79,0.24,0.71,0.89
35,1.58,0.2,0.6,0.75
36,1.27,0.2,0.48,0.59
37,0.91,0.17,0.36,0.36
38,0.91,0.19,0.38,0.42
39,1.87,0.18,0.81,0.93
40,1.74,0.19,0.69,0.88
41,1.62,0.18,0.65,0.81
42,1.47,0.2,0.59,0.73
43,1.28,0.17,0.51,0.59
44,0.95,0.16,0.38,0.39
45,0.9,0.15,0.37,0.4
46,1.48,0.16,0.61,0.74
47,1.16,0.17,0.46,0.54
48,0.81,0.17,0.31,0.32
49,0.84,0.14,0.33,0.34
50,1.45,0.16,0.57,0.71
51,1.12,0.16,0.44,0.51
52,0.81,0.14,0.31,0.33
53,0.79,0.16,0.31,0.3
54,1.55,0.15,0.64,0.74
55,1.67,0.17,0.66,0.86
56,1.45,0.19,0.58,0.73
57,1.27,0.16,0.49,0.6
58,0.95,0.16,0.37,0.42
59,0.73,0.17,0.29,0.34
60,1.06,0.17,0.42,0.46
61,0.84,0.18,0.34,0.37
62,1.31,0.16,0.5,0.63
63,0.92,0.17,0.35,0.4
64,0.91,0.16,0.33,0.4
65,1.38,0.16,0.53,0.68
66,1.05,0.16,0.39,0.48
67,0.85,0.16,0.33,0.35
68,1.07,0.16,0.41,0.48
69,0.84,0.15,0.31,0.34
70,1.24,0.14,0.47,0.6
71,0.87,0.15,0.32,0.37
72,0.93,0.16,0.37,0.43
73,1.52,0.16,0.58,0.75
74,1.27,0.16,0.48,0.61
75,0.96,0.16,0.36,0.43
76,0.75,0.16,0.26,0.31
77,0.96,0.16,0.36,0.42
78,1.01,0.16,0.39,0.44
79,1.51,0.17,0.57,0.74
80,1.21,0.17,0.48,0.59
81,0.94,0.18,0.36,0.43
82,0.81,0.17,0.29,0.34
83,0.99,0.14,0.37,0.44
