epoch,G,D,cycle,id
0,2.18,1.05,0.6,0.7
1,1.81,1.14,0.41,0.49
2,1.37,0.83,0.34,0.4
3,1.63,1.01,0.33,0.4
4,1.33,0.98,0.25,0.29
5,1.42,0.99,0.27,0.31
6,1.27,0.9,0.27,0.31
7,2.01,1.3,0.28,0.33
8,1.12,0.77,0.24,0.27
9,1.15,0.67,0.25,0.28
10,1.2,0.82,0.23,0.26
11,2.27,1.3,0.26,0.3
12,1.23,0.9,0.21,0.24
13,2.87,1.57,0.21,0.24
14,1.41,0.78,0.26,0.3
15,1.17,1.13,0.2,0.23
16,1.01,0.48,0.21,0.24
17,6.2,2.89,0.39,0.41
18,0.83,0.46,0.21,0.23
19,1.04,0.6,0.24,0.25
20,2.26,1.37,0.24,0.27
21,1.28,0.65,0.19,0.21
22,3.24,1.4,0.23,0.25
23,1.84,1.24,0.2,0.22
24,1.63,0.94,0.18,0.2
25,12.36,4.76,0.29,0.31
26,0.68,0.43,0.17,0.19
27,0.58,0.38,0.15,0.17
28,1.12,0.54,0.17,0.19
29,2.4,1.33,0.27,0.3
